iter	MultiClass
0	1.592820831
1	1.579596001
2	1.56754932
3	1.557558076
4	1.548994905
5	1.540310412
6	1.531669899
7	1.524983379
8	1.519911922
9	1.514529845
10	1.507634572
11	1.502642149
12	1.496234845
13	1.492401504
14	1.487877614
15	1.483991815
16	1.478913469
17	1.474010043
18	1.470023049
19	1.465010255
20	1.461238043
21	1.457851416
22	1.455267112
23	1.452491752
24	1.449535855
25	1.446316634
26	1.443154235
27	1.437812277
28	1.435544391
29	1.432348709
30	1.428626878
31	1.426006383
32	1.424187907
33	1.422443575
34	1.420476613
35	1.418117506
36	1.415158553
37	1.411494484
38	1.409811074
39	1.406727298
40	1.404763109
41	1.401402087
42	1.398951603
43	1.395881847
44	1.392802212
45	1.390173287
46	1.387557698
47	1.385531177
48	1.38290051
49	1.378856067
50	1.377177002
51	1.375388205
52	1.370293201
53	1.367729079
54	1.365432826
55	1.363249502
56	1.361572172
57	1.359664718
58	1.357663051
59	1.354790869
60	1.352067865
61	1.350363502
62	1.348785189
63	1.346867652
64	1.345564072
65	1.343130329
66	1.34048786
67	1.338174181
68	1.335902855
69	1.333585956
70	1.332469868
71	1.331312275
72	1.329756614
73	1.328114937
74	1.325995557
75	1.324176169
76	1.322373465
77	1.31983917
78	1.318838373
79	1.317695311
80	1.315923562
81	1.312032585
82	1.310433225
83	1.308726999
84	1.305796464
85	1.303458498
86	1.302194032
87	1.301162599
88	1.299147488
89	1.297410035
90	1.296050542
91	1.293682055
92	1.292007976
93	1.290251421
94	1.28824647
95	1.286645196
96	1.284985184
97	1.2835038
98	1.281004831
99	1.279350788
