iter	Passed	Remaining
0	252	24949
1	328	16075
2	396	12815
3	466	11192
4	541	10292
5	625	9797
6	700	9313
7	771	8877
8	839	8484
9	907	8169
10	981	7941
11	1052	7718
12	1122	7510
13	1187	7292
14	1260	7141
15	1331	6990
16	1405	6861
17	1471	6702
18	1538	6557
19	1614	6457
20	1681	6325
21	1747	6196
22	1817	6084
23	1883	5963
24	1951	5853
25	2019	5747
26	2095	5666
27	2170	5580
28	2238	5480
29	2303	5374
30	2375	5287
31	2440	5186
32	2507	5090
33	2569	4988
34	2634	4893
35	2700	4801
36	2766	4711
37	2838	4631
38	2907	4546
39	2978	4467
40	3044	4381
41	3118	4306
42	3181	4217
43	3248	4133
44	3317	4054
45	3388	3977
46	3458	3899
47	3530	3824
48	3606	3753
49	3681	3681
50	3750	3603
51	3818	3525
52	3892	3451
53	3969	3381
54	4045	3309
55	4116	3234
56	4181	3154
57	4247	3075
58	4313	2997
59	4388	2925
60	4457	2850
61	4532	2778
62	4602	2703
63	4675	2630
64	4740	2552
65	4805	2475
66	4881	2404
67	4953	2331
68	5024	2257
69	5101	2186
70	5168	2110
71	5232	2034
72	5310	1964
73	5383	1891
74	5459	1819
75	5534	1747
76	5609	1675
77	5684	1603
78	5751	1528
79	5818	1454
80	5891	1381
81	5972	1310
82	6046	1238
83	6116	1165
84	6194	1093
85	6264	1019
86	6335	946
87	6399	872
88	6467	799
89	6533	725
90	6607	653
91	6680	580
92	6757	508
93	6825	435
94	6898	363
95	6971	290
96	7041	217
97	7116	145
98	7194	72
99	7263	0
